53775.17381	-16.142	0.004
53778.35142	-15.399	0.006
53783.21597	-14.892	0.005
53784.32293	-14.851	0.005
53785.29983	-14.818	0.006
53786.32515	-14.8	0.006
53788.31403	-14.806	0.006
53790.29216	-14.843	0.006
53795.27573	-15.086	0.004
53798.28722	-15.312	0.006
53799.28665	-15.39	0.006
53802.2776	-15.62	0.006
53804.26542	-15.792	0.006
53805.2238	-15.857	0.007
53809.22721	-16.17	0.009
53815.21456	-16.718	0.008
53818.27699	-16.932	0.008
53819.24862	-16.987	0.008
53824.23424	-17.147	0.006
53831.19471	-17.291	0.009
53832.26518	-17.311	0.007
53835.15331	-17.359	0.008
53838.18567	-17.406	0.014
53841.2167	-17.443	0.009
53845.14735	-17.497	0.009
53850.15566	-17.581	0.007
53853.15414	-17.631	0.008
53858.09367	-17.704	0.009
53862.16347	-17.755	0.01
53866.11149	-17.808	0.011
53870.12767	-17.877	0.012
53872.12326	-17.907	0.009
53886.062	-18.136	0.006
53890.07786	-18.177	0.01
53891.08194	-18.203	0.011
53893.05497	-18.208	0.007
53894.06435	-18.246	0.011
53897.04254	-18.267	0.009
53898.04634	-18.296	0.008
